Ano,01,02,03,04,05,06,07,08,09,10,11,12
1969,0.7800764735,0.7660966087,0.7527751909,0.7423543680,0.7310266770,0.7220978170,0.7124698458,0.7075712755,0.7023843275,0.6960502002,0.6848982990,0.6708431672
1970,0.6561115466,0.6417164897,0.6290768392,0.6220354598,0.6163780834,0.6106884393,0.6014355843,0.5961451191,0.5905701166,0.5836236925,0.5727957947,0.5608866371
1971,0.5501153036,0.5401695955,0.5331221028,0.5278557004,0.5218089012,0.5144662841,0.5044721111,0.4945945886,0.4844198743,0.4740884490,0.4647319619,0.4572375183
1972,0.4516632638,0.4462949567,0.4404235853,0.4354540669,0.4297297247,0.4226056882,0.4151549974,0.4092844895,0.4058767746,0.4029923712,0.3991714409,0.3965509349
1973,0.3920745591,0.3882398209,0.3842135507,0.3796464545,0.3753387004,0.3706325727,0.3665741950,0.3633149058,0.3602998442,0.3568296379,0.3544173978,0.3514142469
1974,0.3446579573,0.3410620413,0.3360300461,0.3318562580,0.3265138014,0.3197137786,0.3094245490,0.2963874607,0.2828988442,0.2726822817,0.2669195438,0.2636023574
1975,0.2602690568,0.2563787092,0.2521902752,0.2475396391,0.2426965194,0.2372263679,0.2329699382,0.2290522176,0.2255383484,0.2210527009,0.2163538465,0.2122227488
1976,0.2083870142,0.2044615590,0.1999879485,0.1953481834,0.1905391621,0.1850324673,0.1797304374,0.1752527630,0.1704996354,0.1650705493,0.1593252613,0.1546433972
1977,0.1513004389,0.1487251809,0.1458523206,0.1426183111,0.1386197335,0.1342983364,0.1299641048,0.1265776491,0.1240405587,0.1223258885,0.1206527380,0.1188770668
1978,0.1165925042,0.1141825585,0.1115961506,0.1087910639,0.1057036769,0.1025779885,0.0995782883,0.0966212032,0.0940092892,0.0916163594,0.0894918537,0.0872576484
1979,0.0850202728,0.0831428053,0.0812536934,0.0792739879,0.0764116314,0.0735983618,0.0712287250,0.0693427306,0.0674032736,0.0648001996,0.0619580474,0.0592825533
1980,0.0569590341,0.0546619824,0.0527114726,0.0508311238,0.0490179685,0.0474064209,0.0459361630,0.0445115349,0.0431310641,0.0418746241,0.0405764182,0.0393184175
1981,0.0376253563,0.0358334414,0.0336465442,0.0316523428,0.0298607521,0.0281705722,0.0265760522,0.0250718014,0.0236973482,0.0224193562,0.0212102879,0.0201045704
1982,0.0191107910,0.0182007296,0.0173340606,0.0165086243,0.0156480087,0.0148322678,0.0140589887,0.0132632259,0.0123955341,0.0115846348,0.0108267553,0.0101659644
1983,0.0095455148,0.0090051904,0.0084397403,0.0077428784,0.0071035522,0.0065773613,0.0061014536,0.0055976692,0.0051591443,0.0047115513,0.0042949394,0.0039621225
1984,0.0036822688,0.0033536129,0.0029862968,0.0027148155,0.0024929435,0.0022892053,0.0020963423,0.0019005824,0.0017184291,0.0015551392,0.0013811184,0.0012567050
1985,0.0011372896,0.0010100260,0.0009165413,0.0008132560,0.0007272298,0.0006610822,0.0006053413,0.0005625118,0.0005199792,0.0004766076,0.0004372546,0.0003934980
1986,0.0003471211,0.0002986511,0.2611499621,0.2614448250,0.2594188776,0.2558360738,0.2526262020,0.2496527940,0.2455275777,0.2413686240,0.2368828304,0.2293360512
1987,0.2137905360,0.1830096552,0.1530001432,0.1336075203,0.1104561772,0.0894804238,0.0758175013,0.0735731089,0.0691736314,0.0654551271,0.0599515752,0.0531298035
1988,0.0465479876,0.0399522008,0.0338684525,0.0291944018,0.0244755485,0.0207807496,0.0173853790,0.0140159579,0.0116160782,0.0093670611,0.0073611506,0.0057998440
1989,4.5033225847,4.5033225847,4.3468364718,4.0972819461,3.8183165888,3.4731779940,2.7822331537,2.1606959920,1.6706197457,1.2288379905,0.8929140228,0.6313895171
1990,0.4111947429,0.2634014901,0.1524488106,0.1079053684,0.1079053684,0.1023964150,0.0934188804,0.0843206729,0.0762530568,0.0675702795,0.0594233679,0.0509459629
1991,0.0426718928,0.0354977766,0.0331755041,0.0305765039,0.0280698727,0.0257545392,0.0235416261,0.0213917596,0.0191083207,0.0163626636,0.0136617366,0.0104671583
1992,0.0081507290,0.0064956345,0.0051712718,0.0041603786,0.0034368361,0.0028685721,0.0023697414,0.0019158712,0.0015548385,0.0012607128,0.0010047107,0.0008122172
1993,0.0006577201,0.0005080086,0.0004008598,0.0003182187,0.0002498959,0.0001940051,0.0001488457,0.1138826311,0.0862811713,0.0642070985,0.0475043126,0.0354774553
